person_id,name,degree,pagerank,betweenness,call_count,transaction_count,transaction_amount,case_count,location_count,vehicle_count,investigative_score,assessment,score_band
P035,Qarin Prabhakar,55,0.007242529331016841,0.005660925618822847,49,10,547203.39,2,15,0,43.41,NO,MEDIUM
P064,Maya Seshadri,59,0.006577635095017943,0.00627647703668861,46,18,896542.29,1,6,0,43.22,NO,MEDIUM
P021,Rachit Chana,56,0.007255306953989253,0.005757730486444297,41,19,1057189.53,1,10,0,42.36,NO,MEDIUM
P043,Tripti Trivedi,55,0.007419577610098602,0.005299012260317103,37,24,1237556.0100000002,3,8,1,42.23,NO,MEDIUM
P034,Sanaya Prakash,53,0.007014865497890512,0.005600317803026748,41,16,815969.08,3,17,0,42.06,NO,MEDIUM
P138,Geetika Kade,57,0.00601836627595829,0.005400514362028427,46,18,873571.0,2,15,0,41.9,NO,MEDIUM
P072,Bachittar Saran,55,0.007899255049728573,0.004975199072133095,40,21,1090823.29,1,12,1,41.74,NO,MEDIUM
P093,Gavin Kadakia,56,0.005639812979359692,0.005866409517575721,45,19,1156798.3599999999,1,12,0,41.59,NO,MEDIUM
P103,Pushti More,53,0.006736186707920568,0.005193666239703295,35,21,1068902.27,6,12,1,41.28,NO,MEDIUM
P049,Ansh D’Alia,57,0.007107405931614177,0.005885484549633893,45,20,773649.48,1,7,0,41.22,NO,MEDIUM
P029,Tanmayi Mandal,49,0.00728835278143793,0.004343663783182213,34,22,1436089.3900000001,6,13,0,41.08,NO,MEDIUM
P086,Reyansh Sachdev,52,0.006303316569494838,0.0054740665450008245,38,18,994699.73,6,12,0,41.07,NO,MEDIUM
P083,Amruta Koshy,52,0.00671642937382156,0.005228141274480006,38,23,1180302.88,5,9,0,40.95,NO,MEDIUM
P100,Aarnav Nigam,52,0.006898036488187204,0.004764872007721838,38,22,1256862.68,3,16,1,40.83,NO,MEDIUM
P092,Kritika Kapur,54,0.007655405187407008,0.005051693692429939,43,16,847197.1000000001,2,11,1,40.76,NO,MEDIUM
P027,Ekiya Sandhu,53,0.007569582866437862,0.004737881718783394,38,17,1134308.12,3,10,0,40.08,NO,MEDIUM
P134,Jairaj Chada,54,0.007278887545366093,0.005443000659694767,48,13,550637.39,2,9,0,39.89,NO,MEDIUM
P065,Yashoda Mane,52,0.007481946120080865,0.00477099438606842,36,24,1306121.65,2,13,1,39.87,NO,MEDIUM
P095,Devika Dalal,55,0.007170477738521325,0.004659043017419376,40,20,831901.72,3,15,0,39.82,NO,MEDIUM
P125,Ria Atwal,55,0.005724430775945337,0.005460099777047945,42,19,973179.41,3,13,0,39.7,NO,MEDIUM
P141,Warda Patla,50,0.006188026573175614,0.004395519899699396,38,17,975608.54,9,11,0,39.27,NO,MEDIUM
P075,Ekta Sandal,54,0.006612917947027529,0.005334285985029125,36,20,1157432.76,4,7,0,39.24,NO,MEDIUM
P145,Kavya Das,51,0.007169546273121308,0.005227579580208223,34,23,957581.3300000001,6,9,1,39.05,NO,MEDIUM
P142,Arya Krish,52,0.007071308343964674,0.005066857829014976,39,22,914225.4199999999,4,9,1,38.47,NO,MEDIUM
P104,Ojas Shankar,54,0.006629995971478283,0.005363033362044016,37,20,951519.8400000001,3,10,0,37.93,NO,MEDIUM
P050,Nidra Goyal,50,0.007153178773168456,0.004398621425366468,46,18,917488.36,2,13,0,37.82,NO,MEDIUM
P128,Sathvik Konda,55,0.006566865091390288,0.005570997612558274,40,19,847047.1000000001,2,7,0,37.24,NO,MEDIUM
P107,Rayaan Choudhry,53,0.00701428536211874,0.005445994709313525,43,16,775504.79,2,5,1,37.02,NO,MEDIUM
P059,Dev Pandya,50,0.005736388078325972,0.004675643456932965,33,24,1453009.0100000002,7,6,2,36.89,NO,MEDIUM
P009,Veda Hari,53,0.0066870326759970525,0.00539999066451153,41,17,855707.9800000001,2,8,0,36.8,NO,MEDIUM
P137,Bhavani Shukla,52,0.00588930769140025,0.005757224641866313,45,15,692366.16,2,11,0,36.5,NO,MEDIUM
P004,Mahika Dey,47,0.007198295867159344,0.00448528260199363,34,19,801295.5,7,14,1,36.13,NO,MEDIUM
P032,Simon Wadhwa,54,0.006215786618149056,0.005114500815532515,40,21,1058310.19,0,10,0,36.08,NO,MEDIUM
P097,Dev Nagar,55,0.005157388398656265,0.005031859954694951,40,18,855819.5700000001,4,12,0,35.78,NO,MEDIUM
P123,Jeet Loke,49,0.007445972470542765,0.0045044057502052984,31,24,827819.6300000001,5,11,0,33.66,NO,MEDIUM
P076,Gopal Chakraborty,48,0.006135157074193936,0.004428653900829476,37,16,768612.79,6,14,0,33.56,NO,MEDIUM
P007,Anjali Mittal,49,0.007155240802325726,0.004163502455184719,31,23,1403396.21,3,7,0,33.25,NO,MEDIUM
P008,Mohammed Dhar,52,0.005550866212514815,0.004699354251772948,34,21,1007993.4300000002,4,13,1,33.18,NO,MEDIUM
P018,Fariq Bhagat,52,0.005451807538862674,0.005009578114289381,38,21,1084844.3599999999,3,7,1,33.15,NO,MEDIUM
P118,Waida Anand,50,0.006700397881707553,0.004577714563967784,42,14,800701.18,2,9,1,33.02,NO,MEDIUM
P055,Kai Khatri,54,0.006159731065111969,0.005418983452154444,41,18,570469.71,1,9,1,32.75,NO,MEDIUM
P051,Ryan Thakur,51,0.0063473826702157244,0.004917922469526176,35,20,1002330.39,2,10,0,32.61,NO,MEDIUM
P082,Leela Shetty,49,0.006476795876077684,0.004744543810820701,36,20,863462.39,3,12,0,32.36,NO,MEDIUM
P136,Arunima Chahal,48,0.007196105234373173,0.004053266415145521,35,17,972080.25,3,10,0,31.53,NO,MEDIUM
P085,Ganga Ray,51,0.005218711889964854,0.004397630220291294,37,16,800939.65,6,9,0,31.26,NO,MEDIUM
P119,Pavani Vyas,53,0.004699049883686976,0.004547656565794499,40,16,1011325.73,3,9,0,31.21,NO,MEDIUM
P039,Parth Kapadia,48,0.006605198754198643,0.004562176150496709,37,22,907246.54,3,8,0,31.1,NO,MEDIUM
P124,Oviya Aurora,50,0.006048471393647327,0.004899742459323274,38,15,733149.14,4,6,0,31.09,NO,MEDIUM
P135,Vrishti Puri,49,0.006486166809690552,0.004476467740293506,34,19,1070474.9200000002,3,5,0,30.15,NO,MEDIUM
P131,Nimrat Kuruvilla,52,0.005408549601904417,0.004918536624017526,38,20,1052643.2599999998,1,5,0,29.6,NO,LOW
P061,Yashoda Aurora,52,0.005485506070313264,0.0047299206886153525,38,16,711064.5800000001,3,8,0,29.53,NO,LOW
P140,Geetika Soman,51,0.007023251380143756,0.00445693541097051,35,19,869856.23,1,6,1,29.49,NO,LOW
P132,Jhalak Master,49,0.006230413154605095,0.00457760844783632,38,15,974847.41,1,7,0,29.15,NO,LOW
P091,Libni Chada,51,0.005738923146514371,0.004610919872231192,36,19,845078.3099999999,2,10,1,29.13,NO,LOW
P115,Brijesh Mukhopadhyay,48,0.006454448414310885,0.004730479216707461,37,17,807848.6599999999,2,6,0,28.56,NO,LOW
P033,Manan Saha,47,0.005009186426155038,0.0036372381726169334,32,19,1016914.0799999998,7,13,1,28.3,NO,LOW
P069,Hardik Nagarajan,46,0.0049277356116909955,0.003876018053513681,36,19,1184626.25,5,10,0,28.22,NO,LOW
P030,Mitali Deo,47,0.006187763500644629,0.004413930444147931,40,15,623831.87,3,9,2,28.19,NO,LOW
P006,Ridhi Rao,51,0.005417119500766738,0.005066688312241522,32,22,1168018.3399999999,0,6,0,28.18,NO,LOW
P087,Liam Dash,48,0.004936980915776188,0.0043675125265621745,36,16,838658.55,5,10,0,27.84,NO,LOW
P080,Yochana Shan,47,0.0065030453450747715,0.004556343080240169,35,15,615164.09,2,14,2,27.74,NO,LOW
P113,Bishakha Vora,49,0.006505008041929546,0.004543729478068069,37,16,509786.14,1,13,0,27.35,NO,LOW
P120,Ekiya Venkatesh,46,0.005555783611711541,0.003994736481351073,29,21,1279549.01,5,7,0,27.01,NO,LOW
P133,Forum Goda,49,0.0060959373952892415,0.004082637884774972,39,20,781381.62,2,6,0,26.86,NO,LOW
P001,Charita Kurian,45,0.005309472293889303,0.003954971805765493,37,16,751025.37,5,13,0,26.65,NO,LOW
P150,Ira Sengupta,47,0.005029817256529824,0.003931944499412503,40,12,473960.41000000003,6,6,0,24.65,NO,LOW
P130,Charles Natt,49,0.005024861981754832,0.003874844158307341,39,16,873290.57,1,10,0,24.35,NO,LOW
P015,Timothy Dhar,45,0.005318771530774558,0.0037156719892556056,35,13,834295.31,4,12,0,24.35,NO,LOW
P143,Niharika Setty,43,0.006416477309963226,0.003700094355827357,33,14,790058.47,3,13,0,24.14,NO,LOW
P068,Indira Som,44,0.00593412362505183,0.004076843163088445,35,14,605595.8899999999,3,13,2,23.8,NO,LOW
P089,Qadim Vala,46,0.005269858681579555,0.004373709142090394,35,16,785336.11,1,8,0,21.64,NO,LOW
P019,Gautam Srinivasan,44,0.005957549917589496,0.003222151949965126,34,14,703740.14,2,15,1,21.28,NO,LOW
P149,Tara Bahl,44,0.005675585411941881,0.0037176374833335127,30,16,827333.49,3,11,0,21.06,NO,LOW
P041,Madhav Kalita,47,0.00472378002007021,0.00406914611245529,30,22,706929.21,4,10,0,20.93,NO,LOW
P013,Simon Bhatt,41,0.0059094468986412695,0.002623592614692393,31,15,829992.99,4,18,0,20.68,NO,LOW
P099,Ikshita Dass,45,0.005109005799531848,0.0036789372462220243,38,11,543721.9400000001,3,9,0,20.39,NO,LOW
P060,Frederick Walla,42,0.004958891816630628,0.0031520953619821636,36,15,642913.6,5,12,1,19.94,NO,LOW
P016,Chandran Deshpande,42,0.005827191429297925,0.003643791338066467,31,14,627794.85,4,8,0,18.98,NO,LOW
P056,Yasti Mandal,47,0.004282498948817334,0.0034136877728061237,33,19,992202.8799999999,1,12,1,18.89,NO,LOW
P105,Aryan Sahni,42,0.005727084520553437,0.003726876084013291,32,14,746544.97,1,9,0,17.42,NO,LOW
P062,Ekansh Merchant,44,0.005083334021020205,0.0033450510980956036,32,20,908532.1799999999,1,8,0,16.7,NO,LOW
P074,Yachana Kalla,39,0.005231306517230648,0.003104360750162246,25,16,806551.91,3,10,0,12.53,NO,LOW
P070,Ubika Bhasin,38,0.0056633332527638875,0.0028091053284417305,28,14,785439.46,2,7,0,11.3,NO,LOW
P066,Gaurang Pillai,38,0.005031033854216567,0.0028595893458599904,28,11,572473.15,3,12,0,10.68,NO,LOW
P090,Abhiram Keer,38,0.004740514947315401,0.0031695920857786573,25,14,871355.4199999999,2,7,2,9.29,NO,LOW
P094,Ria Prasad,37,0.004867985020774622,0.002808261601587307,31,9,566374.78,2,9,0,8.69,NO,LOW
