phone_id,phone_number,person_id,operator
PH072,9234399006,P146,BSNL
PH073,9872251245,P087,Jio
PH074,9539171034,P127,Vi
PH075,9229049592,P047,BSNL
PH076,9711360360,P055,Vi
PH077,9100670670,P067,Vi
PH078,9546705274,P072,Vi
PH079,9070252106,P143,Jio
PH080,9136429368,P133,Airtel
PH081,9663593612,P022,Airtel
PH082,9936000972,P105,BSNL
PH083,9133734082,P143,Airtel
PH084,9678852885,P122,BSNL
PH085,9574571070,P115,Jio
PH086,9787087938,P024,Vi
PH087,9859614949,P057,BSNL
PH088,9429237054,P063,Vi
PH089,9762509700,P149,Vi
PH090,9068599229,P122,Vi
PH091,9965422341,P109,Vi
PH092,9674977943,P091,BSNL
PH093,9227532654,P070,Vi
PH094,9831863247,P065,Airtel
PH095,9592054749,P031,Airtel
PH096,9073472910,P081,Jio
PH097,9648663108,P138,Airtel
PH098,9828946974,P050,Airtel
PH099,9053762172,P124,Vi
PH100,9284520500,P135,Vi
PH101,9903299445,P026,Airtel
PH102,9297388242,P076,Airtel
PH103,9707735627,P093,Airtel
PH104,9215253348,P078,Jio
PH105,9525923329,P137,Airtel
PH106,9271511777,P071,Jio
PH107,9047813563,P014,Vi
PH108,9277435760,P033,BSNL
PH109,9685414822,P027,Jio
PH110,9908961252,P147,Vi
PH111,9679412821,P121,BSNL
PH112,9659936049,P113,Vi
PH113,9486864990,P048,Jio
PH114,9438234255,P065,BSNL
PH115,9839129904,P030,Jio
PH116,9612958295,P103,BSNL
PH117,9952703696,P019,Jio
PH118,9308361433,P039,Airtel
PH119,9074529319,P145,Vi
PH120,9526869449,P022,Airtel
PH121,9470957451,P031,BSNL
PH122,9439506163,P058,BSNL
PH123,9591451242,P116,BSNL
PH124,9069870848,P077,BSNL
PH125,9029095772,P079,Jio
PH126,9222510409,P026,Airtel
PH127,9150545700,P055,Vi
PH128,9646944156,P021,Airtel
PH129,9623950872,P062,Airtel
PH130,9038466032,P142,Jio
PH131,9749939513,P041,Jio
PH132,9222297470,P105,BSNL
PH133,9913991379,P121,Vi
PH134,9145285275,P009,Airtel
PH135,9044062530,P074,Vi
PH136,9763920160,P117,Jio
PH137,9502774406,P060,Vi
PH138,9638441494,P051,BSNL
PH139,9884720466,P030,Airtel
PH140,9946875902,P039,Vi
PH141,9591917822,P037,Jio
PH142,9448077604,P016,Airtel
PH143,9025805277,P079,Vi
PH144,9516968938,P113,Jio
PH145,9483784194,P120,Vi
PH146,9271369299,P104,Vi
PH147,9414201617,P129,BSNL
PH148,9842510630,P113,Jio
PH149,9930656811,P011,BSNL
PH150,9482276054,P083,Vi
PH151,9067867247,P007,Jio
PH152,9674928938,P059,Jio
PH153,9614383575,P069,Jio
PH154,9303898465,P045,BSNL
PH155,9611595441,P133,BSNL
PH156,9614207215,P072,Airtel
PH157,9857725584,P150,BSNL
PH158,9760599158,P126,Jio
PH159,9891916227,P121,Vi
PH160,9164290633,P105,Vi
PH161,9269999390,P083,Jio
PH162,9578553846,P042,Vi
PH163,9922166770,P106,BSNL
PH164,9567696152,P074,BSNL
PH165,9429586026,P141,Jio
PH166,9449283137,P117,Jio
PH167,9924159127,P081,Vi
PH168,9328554206,P083,Jio
PH169,9220361345,P104,Jio
PH170,9403879740,P139,BSNL
PH171,9947409250,P106,Jio
PH172,9673693543,P049,Vi
PH173,9313054248,P128,BSNL
PH174,9499648378,P014,Airtel
PH175,9311788173,P069,Airtel
PH176,9570094759,P074,BSNL
PH177,9160800735,P125,Jio
PH178,9712565575,P008,Airtel
PH179,9812638041,P041,Vi
PH180,9950716809,P142,Jio
PH181,9347394494,P142,BSNL
PH182,9911389931,P024,Airtel
PH183,9003283313,P030,BSNL
PH184,9509477951,P031,Airtel
PH185,9348333005,P128,Vi
PH186,9093092587,P131,Vi
PH187,9083592852,P107,BSNL
PH188,9027068725,P121,Airtel
PH189,9615265854,P117,Airtel
PH190,9465537182,P099,Airtel
PH191,9184132003,P131,Airtel
PH192,9104365529,P018,Vi
PH193,9087332430,P107,Vi
PH194,9363594926,P130,Vi
PH195,9552418963,P001,Vi
PH196,9473496173,P077,BSNL
PH197,9301953882,P039,BSNL
PH198,9176907555,P138,BSNL
PH199,9406267354,P089,Vi
PH200,9703170033,P142,BSNL
PH201,9383777527,P117,Vi
PH202,9828062947,P049,Airtel
PH203,9470145822,P147,BSNL
PH204,9566366165,P060,BSNL
PH205,9516081819,P012,Vi
PH206,9425042181,P122,BSNL
PH207,9925084537,P099,Airtel
PH208,9724747888,P127,Jio
PH209,9658354088,P033,Vi
PH210,9468383308,P026,BSNL
PH211,9143690614,P026,BSNL
PH212,9401070810,P004,Airtel
PH213,9925387407,P105,Airtel
PH214,9276787250,P020,BSNL
PH215,9465209504,P068,Vi
PH216,9517370061,P102,Jio
PH217,9021947931,P085,BSNL
PH218,9676881351,P082,BSNL
PH219,9443153159,P139,Jio
PH220,9218959017,P018,Airtel
PH221,9187236370,P074,Airtel
PH222,9075987328,P024,BSNL
PH223,9380091680,P026,Jio
PH224,9940554257,P114,Airtel
PH225,9316311221,P077,Jio
PH226,9899320589,P012,Vi
PH227,9307873505,P015,Vi
PH228,9825116883,P092,Vi
PH229,9264771386,P111,Airtel
PH230,9041229479,P063,BSNL
PH231,9739141965,P145,Airtel
PH232,9626971057,P044,Airtel
PH233,9287879493,P021,BSNL
PH234,9018995043,P062,BSNL
PH235,9619233242,P150,Airtel
PH236,9736180195,P060,BSNL
PH237,9355986671,P066,BSNL
PH238,9953282697,P066,Jio
PH239,9926907917,P120,Vi
PH240,9541932202,P140,Airtel
PH241,9672807463,P019,BSNL
PH242,9414208430,P089,Vi
PH243,9172057341,P109,Vi
PH244,9021539097,P117,Vi
PH245,9159710641,P051,BSNL
PH246,9394751885,P124,Jio
PH247,9679328944,P061,BSNL
PH248,9885543647,P147,Vi
PH249,9273765036,P148,Vi
PH250,9654886871,P076,Jio
